[certificateholder_id],[certificateholder_name],[crop],[license_number],[start_date_license],[end_date_license],[license_standard],[license_status],[scope],[region],[country]
RA_00062682112,Descafeinadora Colombiana S.A.S,Coffee,RALI24-026393,4/28/2024,4/27/2025,Supply Chain,Granted,Multi Site,Latin America,Colombia
RA_00134952304,GENERAL DE SOLUBLES S.A,Coffee,RALI23-018689,6/10/2024,6/9/2025,Supply Chain,Granted,Single Site,Latin America,Mexico
RA_00143622308,UNICAFÉ COMPANHIA DE COMÉRCIO EXTERIOR,Coffee,RALI23-022540,4/22/2024,4/21/2025,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00023462107,Coffein Compagnie GmbH & Co. KG,Coffee,RALI24-030112,12/9/2024,12/8/2025,Supply Chain,Granted,Multi Site,Europe,Germany
RA_00028612108,Schirmer Kaffee GmbH,Coffee,RALI24-027502,8/12/2024,8/11/2025,Supply Chain,Granted,Single Site,Europe,Germany
RA_00034752108,Finca San Carlos Dos,Coffee,RALI21-003475,1/25/2022,1/25/2023,Farming,Not Granted,Single Farm,Latin America,El Salvador
RA_00079662202,COOPERATIVA AGRARIA VALLE GRANDE,Coffee,RALI23-022266,4/2/2024,4/1/2025,Farming,Granted,Group Of Small Farms,Latin America,Peru
RA_00106342206,?uying International Group SPAR B.V.,Coffee,RALI24-029799,11/23/2024,11/22/2025,Supply Chain,Granted,Single Site,Europe,Netherlands (the)
RA_00040572109,Co.Honducafe-Occidente,Coffee,RALI24-031883,11/16/2024,11/15/2025,Farming,Granted,Group Of Small Farms,Latin America,Honduras
RA_00007792105,José Carlos Grossi e Filhos,Coffee,RALI23-023571,4/9/2024,4/8/2025,Farming,Granted,Multi Farm,Latin America,Brazil
RA_00154372402,Grupo Santa Fe,Coffee,RALI24-031711,12/20/2024,12/19/2025,Farming,Granted,Group Of Mixed Farms,Latin America,Nicaragua
RA_00033742108,"Beak & Skiff Apple Farms, Inc.",Coffee,RALI24-030255,12/14/2024,12/13/2025,Supply Chain,Granted,Single Site,North America,United States of America (the)
RA_00101052205,Hacienda Los Eucaliptos,Coffee,RALI23-023999,1/1/2024,3/31/2025,Farming,Granted,Single Farm,Latin America,Puerto Rico
RA_00060572111,COMERCIO AMAZONIA S.A,Coffee,RALI23-023919,4/16/2024,4/15/2025,Farming,Granted,Group Of Small Farms,Latin America,Peru
RA_00112232208,Louis Dreyfus Company Coffee NA LLC,Coffee,RALI24-028901,9/17/2024,9/16/2025,Supply Chain,Granted,Single Site,North America,United States of America (the)
RA_00023752107,Balchem Corporation,Coffee,RALI24-034046,1/31/2025,1/30/2026,Supply Chain,Granted,Multi Site,North America,United States of America (the)
RA_00127802301,Socially Responsible Coffee Ltd.,Coffee,RALI24-035278,2/22/2025,2/21/2026,Supply Chain,Granted,Single Site,North America,Canada
RA_00031342108,Treatt USA,Coffee,RALI24-025936,5/12/2024,5/11/2025,Supply Chain,Granted,Single Site,North America,United States of America (the)
RA_00079322202,Schwarzwaldmilch GmbH Freiburg,Coffee,RALI24-028134,9/8/2024,9/7/2025,Supply Chain,Granted,Multi Site,Europe,Germany
RA_00030432108,Global Coffee Exportação LTDA,Coffee,RALI24-033438,12/10/2024,12/9/2025,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00135942304,SSP,Coffee,RALI23-020657,5/15/2024,8/14/2025,Supply Chain,Granted,Single Site,Europe,United Kingdom of Great Britain and Northern Ireland (the)
RA_00041612109,Cherrytree Bakery Limited,Coffee,RALI24-029398,11/15/2024,11/14/2025,Supply Chain,Granted,Single Site,Europe,United Kingdom of Great Britain and Northern Ireland (the)
RA_00056052111,"Arod, S.A. de C.V, finca El Molino",Coffee,RALI24-034672,1/12/2025,1/11/2026,Farming,Granted,Single Farm,Latin America,El Salvador
RA_00140202306,ECOM_LIP_RA2023,Coffee,RALI24-029979,9/2/2024,8/31/2025,Farming,Granted,Group Of Small Farms,Latin America,Colombia
RA_00053712110,Kawacom Uganda Limited,Coffee,RALI24-025626,3/31/2024,3/30/2025,Supply Chain,Granted,Single Site,Africa,Uganda
RA_00121752211,"City Coffee Ltd – Mbeya, Tanzania",Coffee,RALI24-030418,10/1/2024,9/30/2025,Farming,Granted,Group Of Small Farms,Africa,United Republic of Tanzania
RA_00159252404,CAFEÍNA COMÉRCIO E CORRETORA DE CAFÉ LTDA,Coffee,RALI24-028721,2/22/2024,5/21/2025,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00029752108,LIFEBRANDS Natural Food GmbH,Coffee,RALI24-032601,2/13/2025,2/12/2026,Supply Chain,Granted,Single Site,Europe,Germany
RA_00059082111,COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,Coffee,RALI23-024502,5/20/2024,5/19/2025,Supply Chain,Granted,Multi Site,Latin America,Brazil
RA_00039582109,Vayhan Coffee Limited,Coffee,RALI23-024386,2/23/2024,5/22/2025,Supply Chain,Granted,Single Site,Asia and Pacific,India
RA_00083382202,Franz Willick Kaffeegroßrösterei GmbH & Co.KG,Coffee,RALI24-031622,4/9/2024,4/8/2025,Supply Chain,Granted,Single Site,Europe,Germany
RA_00050532110,MAKU COFFEE S.A,Coffee,RALI22-010261,11/2/2022,11/2/2023,Farming,Not Granted,,Latin America,Nicaragua
RA_00060202111,Abisinia S.A,Coffee,RALI23-023701,12/26/2023,12/25/2024,Farming,Not Granted,,Latin America,Nicaragua
RA_00047492110,"EMPRESA AGRÍCOLA EL PACAYAL, S.A.",Coffee,RALI24-030330,11/30/2024,11/29/2025,Farming,Granted,,Latin America,Guatemala
RA_00097272205,TOLISUR COFFEE S.A.S.,Coffee,RALI23-023633,4/11/2024,4/10/2025,Supply Chain,Granted,Single Site,Latin America,Colombia
RA_00083522202,Timbro Trading S.A.,Coffee,RALI24-026131,6/21/2024,6/20/2025,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00094872204,Palin S.A.,Coffee,RALI24-029453,6/7/2024,6/6/2025,Supply Chain,Granted,Single Site,Latin America,Guatemala
RA_00157882404,Grupo Cafegrão,Coffee,RALI24-028154,8/12/2024,8/11/2025,Farming,Granted,Group Of Mixed Farms,Latin America,Brazil
RA_00020292107,"Kunshan Yiguo International Trade Co.,Ltd",Coffee,RALI24-029988,6/24/2024,6/23/2025,Supply Chain,Granted,Single Site,Asia and Pacific,China
RA_00009882105,DESARROLLOS CAFETALEROS S.A (DECAFESA) FINCA JESUS MARIA,Coffee,RALI24-028099,10/2/2024,10/1/2025,Farming,Granted,Single Farm,Latin America,Nicaragua
RA_00027432108,Kaffehuset i Karlstad AB,Coffee,RALI24-029749,10/25/2024,10/24/2025,Supply Chain,Granted,Multi Site,Europe,Sweden
RA_00166742408,Biorich Agro Private Limited,Coffee,RALI24-032226,6/9/2024,9/8/2025,Supply Chain,Granted,Single Site,Asia and Pacific,India
RA_00051512110,BBC Coffee Limited,Coffee,RALI21-005151,10/29/2024,1/28/2026,Supply Chain,Granted,Single Site,Europe,United Kingdom of Great Britain and Northern Ireland (the)
RA_00146562310,2C Coffee Importação e Exportação Ltda,Coffee,RALI23-023474,1/11/2024,4/10/2025,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00038152109,SUCASTAINABILITY TANZANIA LTD,Coffee,RALI24-029870,11/26/2024,11/25/2025,Supply Chain,Granted,Single Site,Africa,United Republic of Tanzania
RA_00051552110,FNC-Rainforest Quindio,Coffee,RALI23-019858,9/17/2023,9/16/2024,Farming,Not Granted,Group Of Small Farms,Latin America,Colombia
RA_00083322202,Sucres et Denrées SA,Coffee,RALI23-025035,6/15/2024,6/14/2025,Supply Chain,Granted,Single Site,Europe,France
RA_00161762406,StoneX Switzerland SA,Coffee,RALI24-029911,4/18/2024,7/17/2025,Supply Chain,Granted,Single Site,Europe,Switzerland
RA_00035172108,Beneficio de Café Montecristo.-Grupo RFA Siguatepeque,Coffee,RALI24-031125,11/3/2024,11/2/2025,Farming,Granted,Group Of Small Farms,Latin America,Honduras
RA_00074182201,"GREEN SERVICES CO.,LTD.",Coffee,RALI24-025793,5/27/2024,5/26/2025,Supply Chain,Granted,Single Site,Asia and Pacific,Japan
RA_00101382205,PT. INDRACO GLOBAL INDONESIA,Coffee,RALI22-010521,9/5/2024,12/4/2025,Supply Chain,Granted,Single Site,Asia and Pacific,Indonesia
RA_00053772110,Niehoffs Kaffeerösterei GmbH,Coffee,RALI24-025851,7/21/2024,7/20/2025,Supply Chain,Granted,Single Site,Europe,Germany
RA_00083442202,The Coffee Source BV,Coffee,RALI24-031550,1/20/2025,1/19/2026,Supply Chain,Granted,Single Site,Europe,Netherlands (the)
RA_00040792109,Langdon Coffee Merchants,Coffee,RALI24-030628,8/23/2024,8/22/2025,Supply Chain,Granted,Single Site,Asia and Pacific,Australia
RA_00011292105,CÔNG TY TNHH CÀ PHÊ TU?N PHÁT,Coffee,RALI24-032817,11/1/2024,10/31/2025,Farming & Supply Chain,Granted,Group Of Small Farms,Asia and Pacific,Viet Nam
RA_00000072103,RWACOF EXPORTS LTD - Central Zone,Coffee,RALI23-022896,6/17/2024,6/16/2025,Farming,Granted,Group Of Small Farms,Africa,Rwanda
RA_00061402111,OLAM ITALIA S.R.L.,Coffee,RALI24-026053,7/26/2024,7/25/2025,Supply Chain,Granted,Single Site,Europe,Italy
RA_00045082109,Finca San Rafael,Coffee,RALI24-033553,12/17/2024,12/16/2025,Farming,Granted,Single Farm,Latin America,El Salvador
RA_00076922201,FAZENDA MONTE ALTO - Clésio de Azevedo Vilela,Coffee,RALI23-024411,5/11/2024,5/10/2025,Farming,Granted,Multi Farm,Latin America,Brazil
RA_00155742403,Fazenda Boa Vista,Coffee,RALI24-027141,7/17/2024,7/16/2025,Farming,Granted,Single Farm,Latin America,Brazil
RA_00063702112,Atop II Agropecuária LTDA (Fazenda Vitória),Coffee,RALI23-023910,4/26/2024,4/25/2025,Farming,Granted,Single Farm,Latin America,Brazil
RA_00017842106,QUANG MINH COFFEE TRADING JONT STOCK COMPANY,Coffee,RALI24-030964,11/1/2024,10/31/2025,Farming & Supply Chain,Granted,Group Of Small Farms,Asia and Pacific,Viet Nam
RA_00169682410,Mcb beverages ab,Coffee,RALI24-033682,8/20/2024,11/19/2025,Supply Chain,Granted,Single Site,Europe,Sweden
RA_00025582108,D.R. Wakefield & Company Limited,Coffee,RALI23-025052,6/17/2024,6/16/2025,Supply Chain,Granted,Single Site,Europe,United Kingdom of Great Britain and Northern Ireland (the)
RA_00088942203,CMS Tanzania Ltd,Coffee,RALI24-029289,7/1/2024,6/30/2025,Farming,Granted,Group Of Small Farms,Africa,United Republic of Tanzania
RA_00035682109,Cafetaleros Altas Montañas,Coffee,RALI24-032309,11/3/2024,11/2/2025,Farming,Granted,Group Of Small Farms,Latin America,Mexico
RA_00023802107,InterAmerican Coffee GmbH,Coffee,RALI24-026592,8/19/2024,8/18/2025,Supply Chain,Granted,Multi Site,Europe,Germany
RA_00110472207,"TUPINAMBA,S.A.",Coffee,RALI23-023113,11/6/2024,11/5/2025,Supply Chain,Granted,Single Site,Europe,Spain
RA_00123212211,TESCO-Global Zrt.,Coffee,RALI24-027648,4/28/2024,4/27/2025,Supply Chain,Granted,Single Site,Europe,Hungary
RA_00122652211,D'ORIGENN SAS,Coffee,RALI23-023826,6/30/2024,6/29/2025,Supply Chain,Granted,Single Site,Latin America,Colombia
RA_00028142108,Nippon Comercio e Exportação de Café Ltda,Coffee,RALI24-033355,2/10/2025,2/9/2026,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00043022109,"GLOBAL COFFEE INDUSTRIES S,A.",Coffee,RALI23-023017,2/4/2024,5/18/2025,Supply Chain,Granted,Single Site,Europe,Spain
RA_00058822111,COOPERATIVA AGRARIA AROMAS DEL VALLE,Coffee,RALI23-022141,4/2/2024,4/1/2025,Farming,Granted,Group Of Small Farms,Latin America,Peru
RA_00059452111,NKG STOCKLER LTDA.,Coffee,RALI24-030009,12/5/2024,12/4/2025,Supply Chain,Granted,Multi Site,Latin America,Brazil
RA_00023652107,InterContinental Coffee Trading Inc.,Coffee,RALI24-030563,12/20/2024,12/19/2025,Supply Chain,Granted,Single Site,North America,United States of America (the)
RA_00131872303,Antonio Beltran Martinez,Coffee,RALI23-024141,5/2/2024,5/1/2025,Farming,Granted,Multi Farm,Latin America,Brazil
RA_00018462106,Unternehmensgruppe Theo Muller S.e.c.s.,Coffee,RALI23-023774,4/8/2024,4/7/2025,Supply Chain,Granted,Multi Site,Europe,Luxembourg
RA_00131942303,Kibanga AMCOS – Twende Shamba Tanzania Ltd,Coffee,RALI23-021882,7/30/2024,7/29/2025,Farming,Granted,Group Of Small Farms,Africa,United Republic of Tanzania
RA_00042232109,Tchibo GmbH,Coffee,RALI24-026988,8/31/2024,8/30/2025,Supply Chain,Granted,Multi Site,Europe,Germany
RA_00063712112,FAZENDA CABECEIRA DO CORREGO SURUBIM - Mansur e Pimenta Agronegocios Ltda,Coffee,RALI22-014493,5/12/2023,5/11/2024,Farming,Not Granted,Single Farm,Latin America,Brazil
RA_00076382201,Unicafe Inc.,Coffee,RALI23-024647,5/24/2024,5/23/2025,Supply Chain,Granted,Single Site,Asia and Pacific,Japan
RA_00033862108,Pelican Rouge Coffee Roasters B.V.,Coffee,RALI24-027746,9/28/2024,9/27/2025,Supply Chain,Granted,Single Site,Europe,Netherlands (the)
RA_00141262307,Londe e Ribeiro Agronegócios Ltda,Coffee,RALI24-025961,9/14/2024,9/13/2025,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00088602203,Gabesco Italia Srl,Coffee,RALI23-020523,4/13/2024,4/12/2025,Supply Chain,Granted,Single Site,Europe,Italy
RA_00095852204,OLAM AGRO PERU SAC - SAN MARTIN,Coffee,RALI23-022224,4/16/2024,4/15/2025,Farming,Granted,Group Of Small Farms,Latin America,Peru
RA_00047382110,Brioche Pasquier Etoile,Coffee,RALI23-024391,5/17/2024,5/16/2025,Supply Chain,Granted,Multi Site,Europe,France
RA_00134962304,Puerto Rico Coffee Roasters LLC,Coffee,RALI24-029133,11/7/2024,11/6/2025,Supply Chain,Granted,Single Site,Latin America,Puerto Rico
RA_00091222203,TAIWAN SUGAR CORPORATION,Coffee,RALI24-031472,5/21/2024,5/20/2025,Supply Chain,Granted,Single Site,Asia and Pacific,Taiwan (Province of China)
RA_00045432109,Belmoca NV/SA,Coffee,RALI24-026873,6/6/2024,6/5/2025,Supply Chain,Granted,Single Site,Europe,Belgium
RA_00073382201,Allegro Coffee Company,Coffee,RALI23-024662,5/17/2024,5/16/2025,Supply Chain,Granted,Multi Site,North America,United States of America (the)
RA_00065302112,Beneficio Aresca,Coffee,RALI23-023347,3/18/2024,3/17/2025,Supply Chain,Granted,Single Site,Latin America,Mexico
RA_00060092111,fazenda Santa Flora/fazenda Santa irene,Coffee,RALI23-022510,5/3/2024,5/2/2025,Farming,Granted,Single Farm,Latin America,Brazil
RA_00022972107,Expocafé S.A. - Cooperativa de Caficultores de Anserma,Coffee,RALI22-013919,10/10/2024,10/9/2025,Farming,Granted,Group Of Small Farms,Latin America,Colombia
RA_00027742108,"COMERCIAL DE MATERIAS PRIMAS, S.A.",Coffee,RALI24-027430,9/1/2024,8/31/2025,Supply Chain,Granted,Single Site,Europe,Spain
RA_00114672209,Strik bv,Coffee,RALI24-028665,10/17/2024,10/16/2025,Supply Chain,Granted,Single Site,Europe,Netherlands (the)
RA_00020122107,SHANGHAI MINMETALS DEVELOPMENT LTD,Coffee,RALI23-025120,5/3/2024,5/2/2025,Supply Chain,Granted,Single Site,Asia and Pacific,China
RA_00072542201,Sucden Colombia - Huila 1,Coffee,RALI23-025268,5/2/2024,5/1/2025,Farming,Granted,Group Of Small Farms,Latin America,Colombia
RA_00087052203,F+S Milchwerk Coesfeld GmbH,Coffee,RALI24-026722,8/11/2024,8/10/2025,Supply Chain,Granted,Multi Site,Europe,Germany
RA_00091792203,Fazenda Bagagem,Coffee,RALI24-027010,6/2/2024,6/1/2025,Farming,Granted,Single Farm,Latin America,Brazil
RA_00143432308,UK Health Supplements Ltd t/a We Are Coffee Co,Coffee,RALI23-022504,8/7/2024,11/6/2025,Supply Chain,Granted,Single Site,Europe,United Kingdom of Great Britain and Northern Ireland (the)
RA_00135602304,FAZENDA ELDORADO / SÃO JOÃO / SANTA MARIA,Coffee,RALI23-024882,6/2/2024,6/1/2025,Farming,Granted,Multi Farm,Latin America,Brazil
RA_00060152111,GRUPO AQUA S. de R.L. de C.V.,Coffee,RALI21-006015,1/15/2025,1/14/2026,Supply Chain,Granted,Single Site,Latin America,Honduras
RA_00077572201,Hochstrasser AG,Coffee,RALI24-026434,6/2/2024,6/1/2025,Supply Chain,Granted,Single Site,Europe,Switzerland
RA_00062352111,Koperasi Sapta Winangun Kerti,Coffee,RALI24-029154,6/12/2024,6/11/2025,Farming,Granted,Group Of Small Farms,Asia and Pacific,Indonesia
RA_00156302403,NOT VALID/Café de Mi Tierra S.A.,Coffee,RALI24-027300,12/21/2023,3/20/2025,Supply Chain,Granted,Single Site,Latin America,Guatemala
